NUDOSS,NULIGN,SOCDOS,PGPDOS,CODLAN,CODCON,ANNEES,IDZYES,DATDEB,DATFIN,DEBACQ,FINACQ,ACQUIA,REPPRE,REPECR,REPSUI,PAYESS,DRTPRI,RESTAN,AJUST1,MOTIF1,AJUST2,MOTIF2,AJUST3,MOTIF3,AJUST4,MOTIF4,DTUPD1,MOTIR1,AMREP1,CPTCR1,DTUPD2,MOTIR2,AMREP2,CPTCR2,DTUPD3,MOTIR3,AMREP3,CPTCR3,AMREPT,POSBUL,IDGPRG,SOCCLE,MATRIC,NUDOSP,IDSITU,PERPAI,USAGEP,NUMTRT,NUMBUL,TIMEST,HHPRIS,JJREEL,HHREEL,HHREST,HHACQU,JJRELI,HHRELI,JFRACT,HFRACT,MODELR,REPELR,LIBELL
30,30,BfMOqOLt41Upl9L8Jq,30,lHj7YnkOQkIDGiykrd,vuVBVE4Oatp3Ig6rzp,7/12/2021,30,12/25/2021,3/22/2022,8/25/2021,2/16/2022,30,30,30,30,30,30,30,30,"",30,IwPIeRQDbQB59szf1E,30,85K4CufF1tFi4GVhN0,30,Sc4vfrKmin20crXiWr,9/24/2021,TjM4VDr8Wd23oGvQD3,30,oXWhciMTkp3bYNSF4h,6/4/2022,PjYQwwUhML8zHdiZl1,30,o7RhN2PLo5uXUpJx7B,12/6/2021,lakc37kfhDD9ogTjPQ,30,nwPstt6HASMMzbFTPi,30,"",30,"","",30,3WyiESzQcqoI69iEJ3,TM4MNl854M0BPFpWeB,9bJK1JwTVgZ0Xc4nx4,wb7P6D38RO84IxNWnK,VbwPuP5JRAz5uI8LjU,8/13/2021,30,30,30,30,30,30,30,30,30,"","",""
31,31,E03UKDeYYjkaYT3Wpt,31,Z2JVl5wtLKV2NIlEcu,axESH0BD2vVmSCg2x6,12/29/2021,31,12/6/2021,8/7/2021,3/21/2022,6/19/2022,31,31,31,31,31,31,31,31,"",31,zeqnzneHN347dj2zEv,31,xi1GjpIVmVLXWln80v,31,i8oyBUCQ9Jpy4BmWEi,9/3/2021,qLABCIzSN8HVsS8byU,31,5D24bLkOt7be8hJkdC,3/2/2022,53RcMCbZI0mCDPwkIr,31,S7u0ZazOTbTBD0o523,4/21/2022,073BDDV2lJ0GkQts5b,31,DriIyH0UBoSrYTldUz,31,"",31,"","",31,4ogQZDGHgQ2Ek9ypX4,sBhen7fGRISDzP1EhZ,fCKqOwcRk6GjSAY2s5,V7MKTYVjTrGvHWB6LD,DFrXUlDPELbxsFKR1V,11/8/2021,31,31,31,31,31,31,31,31,31,"","",""
32,32,C5MJOvSJdAE2SfF69q,32,ziqUBctlChS67rhigU,76Or0TRq357RUO1CZ0,1/8/2022,32,9/11/2021,7/13/2021,6/16/2022,8/27/2021,32,32,32,32,32,32,32,32,"",32,VxAHHBITA5WkyuwWvo,32,yJWxV6btlGn1uJoVyg,32,AK1XAKqv8FHsoOnBzR,1/27/2022,zk9rs5CQBHviUrAjTJ,32,w0LBWZ9HcmT1nbf2HT,1/25/2022,jKrZURw4LmOZY1j1m3,32,slUIk8ajXIcTVKBTzJ,1/1/2022,laoQ0QQ2jK6X7WEToh,32,Sy9FbSxmCPlxM56kXC,32,"",32,"","",32,igsvGQIyAAGhJr3sce,w1lArYqGzFyiKct26q,UzfukCVAgOBhgxgefl,93tx5Oy5KbqGOsD0r3,SweAfnG1u3hgpXGea5,9/16/2021,32,32,32,32,32,32,32,32,32,"","",""
33,33,8PRmRUjGD20IyN9asn,33,mXMcM8BCrg2U9vSqpn,zeuYi0XpH9qKXquhQY,3/26/2022,33,11/12/2021,1/19/2022,5/28/2022,4/4/2022,33,33,33,33,33,33,33,33,"",33,aLGBd62xy45WGmEVyK,33,QFggGZflTWHA43sMgc,33,bkVmOzkeY1sG66KFbh,1/17/2022,kWI1ylJHZ0tBShadXd,33,fVt6SNgx9DzJ8rQykb,9/25/2021,UiBqOp58PteKPDPlxR,33,uky78wa3FOJK4RAt0E,7/23/2021,eUACvoWvqbbla5uUcn,33,bTfLmdcrwSG9cuRiNn,33,"",33,"","",33,hgbr2VwRlZby3szhVp,jUJuqnoupyvmF01hhy,SWyLbho8mJePlFS23c,m71d9PXM7fpCgdGVXS,k4lfPNjcA4fhp6EjZb,8/17/2021,33,33,33,33,33,33,33,33,33,"","",""
34,34,wYnbkR7cvEjXDbJSoF,34,P6K75ng6dd37UaKvP3,amqixge0UdkXTkVTzN,1/21/2022,34,6/3/2022,5/31/2022,1/23/2022,11/16/2021,34,34,34,34,34,34,34,34,"",34,qq8BuSPMOadblwQ0bS,34,IbSYo1QJLRWOOo0ZHI,34,gGsM1FWMpE5L2xIha0,5/29/2022,xDKA6bMiM1MAjJ9DeI,34,SaHpATDahoZDCvuav1,1/29/2022,ze8MEZ44CbRgS4I2IY,34,4586n7KIeFferE7IcZ,9/11/2021,JXuNST2nMiPRGJrS2p,34,67fn3La7PeLKmQRQYq,34,"",34,"","",34,0pIuDlF6eLhJ8VMhhb,mbpmQFK3fSPn7TaeqA,pJoxnilri3jgGRP4zg,0xWw7n3w72LmG6h0WJ,qmH4c8nkTQzUxOBVFi,11/2/2021,34,34,34,34,34,34,34,34,34,"","",""
35,35,WcMt5duLLzAd9W7Y7X,35,d1TnkWQYzb13SVkVn2,dg9f1hLIMUVLaXD7ta,4/22/2022,35,7/12/2021,1/19/2022,9/20/2021,8/17/2021,35,35,35,35,35,35,35,35,"",35,CLpVlr86RsAkD8Z9uc,35,7CBZQFeVw5HYj2TyWq,35,T5wmm7HmcTyYA722SZ,3/24/2022,fkjh1Agu925RyxGBzC,35,TJ2l7YOPOkZY20rxFw,12/13/2021,zgBSCshgP2xI6dvAan,35,gWUqKIgvZ8Ws43wkR9,2/11/2022,TqgcXOyELkAtvhAhf3,35,lHYzd59zuoFocyV1If,35,"",35,"","",35,CylNUVKnDGlYHDDZU2,Khlj3hb6DGzCTa2Rbz,WCh86cQNPldw5psaMz,QToxmZuYjMipu30e35,gbai7Yw9zV2oUrzCxl,8/8/2021,35,35,35,35,35,35,35,35,35,"","",""
36,36,Eh4fpOdq9IQ46nyddg,36,uXtEnlNoOn3rh5LvWN,i18R1mnEHhC0B70mIZ,9/21/2021,36,4/12/2022,2/19/2022,10/7/2021,1/13/2022,36,36,36,36,36,36,36,36,"",36,NEMc2R9U38ZBhj63tD,36,wovebc2EBxXgj0a1io,36,BQlAjjefm4cEFZhCRy,11/7/2021,mcpakaw2mC6ljAKbtJ,36,8ev2afhlW69ee5aiEK,2/17/2022,N8PDhZUQ8TXJVfeAVr,36,qaVUgT6uCIRGkoieLw,4/25/2022,LS5F5PZEHa7c7bdIkE,36,lLY8zCDYAR4c4lMPpW,36,"",36,"","",36,f9MmudoHepk7Qyvngu,LXmH1Pde2VFghMnsKJ,ozLQYlY5S1zmIn76Mt,q18VZr1KIKWQWvfV0w,O8li4UPENeze62qSD1,1/27/2022,36,36,36,36,36,36,36,36,36,"","",""
37,37,xtAb5MCv1L5T0FxoXS,37,wVYM33N9YuZzPQ4frT,UcZ4QRQsxfdxVQhND2,9/12/2021,37,4/14/2022,3/10/2022,1/7/2022,2/5/2022,37,37,37,37,37,37,37,37,"",37,b5cvzQtj8w1C0wVzxm,37,sTShUYO36IPafNraXN,37,JjUNU9XeF5tJH89P5N,12/6/2021,Lwx1KK9IlkeIAPwY2V,37,ZBNyeXMrgbyYMwvHMs,8/12/2021,HHtHnpsfxkyPbNhQSq,37,BLNEl5CMS3IWhyqnea,3/23/2022,sJjamhTSJ0Ai5kdlAt,37,qTjz5gWKAgmuZuNrjy,37,"",37,"","",37,7HqNHvSAMemh4Lf1r5,M2zlxbmJIcxZLo4STu,YNOpKjahu1G3tcO0Vi,EFEZ4rcjppztq2Qj4t,AFr1OWzuXH6kQn0JaY,2/19/2022,37,37,37,37,37,37,37,37,37,"","",""
38,38,CbwiWSTKxsGEl8sSs4,38,v3yN4MbIHxNHodubxD,LkbYpZ2cplAd2VDenX,12/10/2021,38,12/4/2021,5/11/2022,2/5/2022,6/25/2022,38,38,38,38,38,38,38,38,"",38,MeFpmVcz9ozVf9SxMY,38,SMlgtdg5BMoIdd0r3q,38,XM5LDP7QA6dYDTZpU5,7/19/2021,ARFz4duynJMWe26CyT,38,t6ZZaUOaMPWU5FBeUV,5/30/2022,BmmcNXV4sDNNGVCyju,38,3oa3RglA8H8eUmlYtj,7/8/2022,UrKcoBcLXfFJR4CKcF,38,REnCChxUYnc7kiE6oY,38,"",38,"","",38,lK7vA6KjqZV72AuwAA,pU33mB2UGpRsgJOdWt,R4djtokTF6VT5eSCdM,BnZK3yirGFNCkBPHyU,ajY9YpnPzua9tKH2BL,1/30/2022,38,38,38,38,38,38,38,38,38,"","",""
39,39,3OwGLr3WJ4aOC9aWAi,39,8Ng8fVuBvYBpH9uPRm,ho5rqlkWCbZGlt1Xsw,5/27/2022,39,8/7/2021,12/30/2021,3/6/2022,8/13/2021,39,39,39,39,39,39,39,39,"",39,YWDzYxTJEiI4msyhS2,39,PWWubSXo0yYmekAxVr,39,juc3GmqXagjlhtavYd,11/8/2021,KqhkMZnIm58uAfcv1k,39,U2MRNRrsZpRHft2cMs,1/3/2022,A2KLi2JA6utYP4pwF0,39,NZdXls6QTmPYDe9GEj,4/12/2022,T2mTZxfXgu4WuYbJ6Z,39,W5kUGG7mf0TtzCkqwv,39,"",39,"","",39,DOE4iSuskg9DMP7QSf,mu5Vv98EeJAP3ga1WC,nahGD7KckQKEnWMsAE,0mpJst3EYpdCJSISPt,7xPgy2bq39g9kxuHHK,6/18/2022,39,39,39,39,39,39,39,39,39,"","",""
40,40,Q2EhdxUk2KL59ieytt,40,0o3hS13Lbhn8jXiBUb,LapCE4doqgA5gfWDM3,11/1/2021,40,7/24/2021,6/12/2022,8/7/2021,5/15/2022,40,40,40,40,40,40,40,40,"",40,l6xWk9CWdIbURYpRAO,40,mq9Vz1vnUtmUlferbe,40,K2CfDSsyCoQShvsqBU,5/23/2022,BZBYMZrKoHGqEsNTo8,40,QmooW4FkcMdmyylgXX,3/7/2022,pSz04rLnQhUa08YEZw,40,j6nFlZAvBqG2j203J9,12/15/2021,hC1rzQiKJwgLCOGFxa,40,XAmDr83bpJXOzKTTWV,40,"",40,"","",40,HwPiHRc7uFeuUvjMbd,2oe7cHYLnSMned0Yew,M1fhAbbiImKwjnvyXH,Q0G1WYRInvWyADLnPQ,mopGTHE0cVwGMhmseU,11/21/2021,40,40,40,40,40,40,40,40,40,"","",""
41,41,avusfdWu4e9MNs8oN6,41,KMUfCvz7brgumaHpHb,MmmLjmd0PyeUh5yR3w,7/12/2021,41,7/4/2022,4/20/2022,4/27/2022,2/5/2022,41,41,41,41,41,41,41,41,"",41,1kiSyMZG77ebcCP2sE,41,mb4tVpgevmOnDmJfww,41,wFGShYtqU79hpIT7p0,12/3/2021,qGSDp0vVAQmrbKCPLs,41,CZkQWRCb3C49DSTh5g,6/5/2022,wOvVCkfJB4A6x5g0Te,41,GHOvRu5fhFBhoQh8VY,5/31/2022,psFa0SmT3bU8yPmBo7,41,8PZGdLkTvSYY8izpUE,41,"",41,"","",41,3EesTs6xUjhGFTjOYV,5GhrncxE8g69BjWThO,ukUVgaa2kbNB52pcob,xdtYmQltW3563XBXxS,XVWEhdEl9wCr1OKEwz,12/3/2021,41,41,41,41,41,41,41,41,41,"","",""
42,42,ZG1H8Aj7FB3HETJbWG,42,OfnJidqwPlvjWDVOfl,3Mb5Jkt9GsfcylsHyG,11/2/2021,42,9/29/2021,12/15/2021,3/22/2022,6/14/2022,42,42,42,42,42,42,42,42,"",42,Q27VVWN15VmzZEXjMU,42,71iCKpo1wN3AIAjiui,42,HY42rNM0vcUOJVn3FE,3/29/2022,4TP2Fr0xyZnDvHMR3v,42,w6rs0gGxgTebkiTMoT,9/21/2021,XBV2h9YxZvicgK3TWF,42,0SDzw5DE1gLl3bapZo,3/31/2022,VAVfw56L2FFJVW3joG,42,kt9UCULyMxecDMIDav,42,"",42,"","",42,pZNVPbS2Gw4JeSF9fb,F8DjAKje5J1jBpIiIw,60idZAgvRtDzZy6zad,yPhPWNmL8ggr9uIzHq,1W02zLxrApZ4NgLO0M,10/10/2021,42,42,42,42,42,42,42,42,42,"","",""
43,43,FDeZsYzExr8X3mtPJ3,43,xLHyiMMybK9iYQyA4J,ku7ay1WHP9Bq0iqhiq,8/10/2021,43,5/28/2022,5/16/2022,5/14/2022,3/11/2022,43,43,43,43,43,43,43,43,"",43,bjr4mOFT44DI9KYGIv,43,D8iXZjKLEakYdCce6s,43,xxnUsyhfkcc1vrAXpo,7/14/2021,IwmilLtoxYfuv6Gryi,43,CSVyXNsYCRLmKWpEOR,12/23/2021,GwEtXPiS21kqXlT65z,43,6h7WOg4QX3Uga24qlG,6/4/2022,iXUvik8G1I7g4ELzsV,43,szFoatZxjum28r3HFt,43,"",43,"","",43,ogMZAEGItMexLsnJVH,1npQ01oR7jEkk2eSe4,ffv5o8gbRiy8O2ZYjE,aYCdaUho4JpIz0HEvC,2Q5t60GPrsUjZjYThb,5/12/2022,43,43,43,43,43,43,43,43,43,"","",""
44,44,S8L7nFOgWq6kdy8TX5,44,iv5PYmcokYnvzuEuJX,dSJdM8rumOJtuYkURk,11/24/2021,44,12/18/2021,1/15/2022,8/2/2021,9/26/2021,44,44,44,44,44,44,44,44,"",44,IfeMgjnLtMmSFzFHVp,44,T7BFdA7Uc41Y4spQEU,44,QjASKYohFuTaFKzBhY,7/18/2021,jUWFir7tMzy2GkhmBM,44,SpYZ7WWXBV1k3Jz9Lt,9/5/2021,Paf6SXptSp3zSDktYQ,44,7lmZNyVdixrCD87Dl0,11/2/2021,CN3lmYtdHnVfudMc2Q,44,hEUqwwpFay3rEYR2qN,44,"",44,"","",44,EzoMnAekotqonrgqaD,WWvW3mIvH1YCWWCgyY,i6qxBIklDkS7WcGiMg,P2s5D1ZCchzBAmBa1f,4xH9D61Tkmkg3Jc83M,1/23/2022,44,44,44,44,44,44,44,44,44,"","",""
45,45,FckeXt8vaGSunDwGsD,45,760xu2UvGVhrUbvkT5,n9qcMXZeV0nQDz0ONI,11/26/2021,45,7/7/2022,2/17/2022,6/18/2022,2/5/2022,45,45,45,45,45,45,45,45,"",45,7BMOyC0ntwuCVQKhmn,45,fClBo6vfYvMBiLulUr,45,kXE5Y84u0VCrGVe7lr,3/26/2022,wi4PErFTLvbIEhjmTw,45,f55ZjNR2OkTMt4dk9G,11/18/2021,SetTwUfFWbMtYcDhxn,45,CXqcXvB9akmQAkDS3k,2/26/2022,glOpwTSaeBQ5NU59J3,45,PcD9FR4F5blDl8iHbr,45,"",45,"","",45,qcY1u7Zx25vI1EvSpa,p4VKlzL43giAkjl7AM,PUs0TL5qVpJQaC965x,WWS3vn0t04KxzttT0G,ytjgQoAMzonCN3LTBe,9/25/2021,45,45,45,45,45,45,45,45,45,"","",""
46,46,CydjxmtwGpYTUTrttl,46,Exy60onkh2dY52vI1p,UeIqXjpkDQJcowMkJ3,2/4/2022,46,3/11/2022,7/12/2021,3/24/2022,5/14/2022,46,46,46,46,46,46,46,46,"",46,heksGjVMLTd3NPcCiD,46,bOJPckO8zQuENxG0hQ,46,3j5s6a97EMOqX8uDjk,12/27/2021,DqSgfKR8DT0vVR69DP,46,CULsQp3INtL649Z2oq,8/21/2021,btl5NCY0aH0l97duue,46,5osoR40ED9dCjWCVWU,1/8/2022,asR2QGCsRGoKYCLoW2,46,Cz43oC8gIsz7YzzE5b,46,"",46,"","",46,rq622qXnQysI84t7PP,cN2L5kbTTa0o6RLDbK,wm8gMZmYDjqh9dZksX,6RAO16Wxu01L8qbd7i,25Xim4Ve88v3HuiD8J,7/3/2022,46,46,46,46,46,46,46,46,46,"","",""
47,47,KwhbUSyYwXFqxGW5W9,47,PtVQSY4QXsstYuZAI3,Ab0wWrw2XdYT6kwLfX,11/10/2021,47,12/14/2021,2/12/2022,2/14/2022,12/17/2021,47,47,47,47,47,47,47,47,"",47,5NUZYBLMpMcJLFv45c,47,XK9Ng2k23koj8XjGvo,47,5yxgskqd7xLcyctJy5,12/1/2021,xmxAniYmkNtMtVyyn2,47,CNlauH5Jil88n1pz49,6/3/2022,fwDga7HnCTD3kHniqu,47,2yl0aZ7vyePIbdeRoa,1/21/2022,hjoPiXg5mFNILwyBJB,47,olFZN9uf5LQgqSYp3N,47,"",47,"","",47,y5clW5n0XsUJV201Se,vRT50OHChU1Pd8FqrA,JBPqFjk0YKlpEnBfrx,YarY3e53jEo72YTFZR,nMUlHtpUWYJEs9tRdL,3/19/2022,47,47,47,47,47,47,47,47,47,"","",""
48,48,9JWu2zM2e7BwzFp6RA,48,Ku2gk2PoZAKhRM8AdC,H0tEQ3CShwveau8g7H,12/16/2021,48,10/29/2021,9/12/2021,9/27/2021,11/10/2021,48,48,48,48,48,48,48,48,"",48,y4prAQb2gn8hnewhnu,48,jgJljyumhDbxBwXLdi,48,eMBHoiP7iL1awuOReB,4/22/2022,hwWHS0PM6X6Aq6CAOr,48,kTzbonJsHF2p0laHpA,10/18/2021,LpUM51qnVKLBQIHKsz,48,0wfsfip0tgJe2zk0oX,11/12/2021,l5ynXgtjKz4XLwVFof,48,NExJaXng0JCqUp8NIT,48,"",48,"","",48,iQHMGGYUYNbM2uhEaE,qM8RQfLMNObpySqokE,POuyFK8r7Zb7Mip5PV,3nJP2OnkbldXnLrvSm,sRNr9lgfpyPxsX0Xvp,8/29/2021,48,48,48,48,48,48,48,48,48,"","",""
49,49,XBmVkkIvSIEPP3KypI,49,HLBSjHHr8X8PDWTaE0,87JwpogcNQxSN54WBx,2/24/2022,49,9/2/2021,3/19/2022,2/1/2022,4/13/2022,49,49,49,49,49,49,49,49,"",49,1u0q8q1K8NCocfWUnA,49,2SbdMQVGmJdoKcZvKG,49,dx5oh8uUlv88DCKEMb,12/26/2021,FI1AFMDta476meMAvE,49,EoBJ3KPOvcVqDaXQLB,7/30/2021,W21BKgjH3uxI731gnP,49,RT0Zbd2AsfQv4ungO1,1/10/2022,xTlv9wvQt166jX1hry,49,cbUwNRWLMHBlJ5hw6k,49,"",49,"","",49,zvLdALV89optZmOl0u,AYEHS2303IQj1TAbzD,yEI1uVuBH47WOSKRA3,u67QvDOwjyShYRXhH0,f1rMAKmHizoxQwkCC7,6/16/2022,49,49,49,49,49,49,49,49,49,"","",""
50,50,pVGcWdyy9OrSVWGSho,50,aeJ2Qo8hy7g8y7J7oH,RLzSatmCjY4JRunID8,6/22/2022,50,12/19/2021,4/2/2022,8/11/2021,2/20/2022,50,50,50,50,50,50,50,50,"",50,MJjqAP3W0CNH6ufoc9,50,DFP3r0TAYYT1GqffeB,50,2cajguj6hcwfdQC1EF,12/21/2021,fQTIOiP0uOqk82cQtM,50,Zcp2oT4llkVGHQXZLe,5/15/2022,wzURWjwoH9pyo50YEI,50,pQbcikiI16qh7wDsk3,2/21/2022,FUqQr03jKKk4G4DMs9,50,IOHVjPJglmoM7up1DE,50,"",50,"","",50,UezgzFhBDjYkvoKijd,CGya8OuQdgTytFU83S,4XhK1u64bsSaLiQJbi,uIGwdA0dR60nXjJ0ed,w0sJSPuyOhMkzyQGPP,7/6/2022,50,50,50,50,50,50,50,50,50,"","",""
51,51,i1YNyjXRW3kGVt8wVO,51,HZeQC2wRY6qPFzk5dy,3z4Fh7wn9ihpc2Vk6y,5/28/2022,51,5/16/2022,4/3/2022,9/10/2021,11/12/2021,51,51,51,51,51,51,51,51,"",51,pOQeSbABRebu01ioY6,51,RNeAfvrfAiOr4qlbBM,51,1VLHQPa2dpsilRycu3,12/15/2021,UvFEaTgetcwHirhfAC,51,NAYLPCtRU06jSDqdg7,4/9/2022,oInDit8MUhpN5YW9Od,51,BXKWE648CwiYBysDxn,6/29/2022,RqMWoeQkptYRZTqefk,51,lKclJhErSCoTLslHl5,51,"",51,"","",51,fNlGsywkQKc1zFVzr4,K4jD0i6K9liLAutivN,F1sSp9lEFYfV79Vkxw,YfAh6OXcqji3OWBxRp,mvmQs4cXr1MHIGXmap,11/30/2021,51,51,51,51,51,51,51,51,51,"","",""
52,52,87iNsfQ21xOgAQn3M9,52,L721PDSOtctq9eJ4Kw,dAJFE2c6H3q0OE95mr,5/1/2022,52,4/16/2022,9/19/2021,11/29/2021,9/5/2021,52,52,52,52,52,52,52,52,"",52,lNooFalqyK38kGj7G9,52,csM8rj4D3KLjckBdO1,52,yAB6nS1UI3w9qmI8Lc,10/28/2021,S8hZMCEiAx2EsyKWJk,52,EX6ADx2XfB9E0fjQyp,10/18/2021,sDf2NPHUger4DNgWCk,52,JATEOsmXffzAGYjCvw,2/16/2022,pYpGYeKKsi4i2o0LJW,52,oXFU3NKo8utMyS7kVs,52,"",52,"","",52,kT7apUC5qq8lwFEGKX,46pvCR4give9yZN3Jw,NnYFuWqmKdA0sKBbvf,Sh0sp3vFwXcF4GIg1s,jOmrraTW0QgQRtCMtu,6/2/2022,52,52,52,52,52,52,52,52,52,"","",""
53,53,Xrx62wT0c2lGJGqMAS,53,Qws90gWuTGcMW5BNLo,XIoeUkbARJs6VzVo77,11/19/2021,53,1/25/2022,5/1/2022,9/6/2021,9/8/2021,53,53,53,53,53,53,53,53,"",53,MJEQcZWByvhM4eODiv,53,EjX8QnU1rpf6ADjpF6,53,FctTpcjntYfUcoIkaD,7/18/2021,YT4utUkVbWgc1aOYxQ,53,GgkM2kl4WuIonUSSzM,5/30/2022,393hGSiwWf9E6hmDB5,53,qEyzP2lIBICikJTtPg,1/3/2022,tlmhlIxaj4dj9hTqtp,53,StPZTSdwCr7Z25XYzO,53,"",53,"","",53,519Z1SMn4q3H7FFnjy,qudLSFWehgKxJrxhKG,9NN1VSSOyARHer1OwI,WRcwlvCoxcK904JZaK,km8ziLMlZCjQakjbqo,8/12/2021,53,53,53,53,53,53,53,53,53,"","",""
54,54,JpG6MHuYstXo7JskdI,54,rP4Ctk3A383Zrr0Elq,rmutWEpYnJiCWXgu3w,8/20/2021,54,5/30/2022,7/13/2021,6/3/2022,4/17/2022,54,54,54,54,54,54,54,54,"",54,EVl2BEkRii2xlxKj1E,54,NAA19MkiaPEcLqVfgj,54,ycZSaYECdZMwdnSfVa,1/27/2022,373M4n5rrCQRl3D2Lx,54,HykSrU0UXxnu3Oxig9,6/27/2022,Sqin1fIK4A87PkbGhk,54,G42sDZRGkkl0qXMwWH,9/15/2021,nH7OfPdsh59BqfHbtk,54,57dVktfSgcNClr9FVS,54,"",54,"","",54,lboMNTiCco9w8BLrem,1ad3HNFkqKhWQohAp1,vNgc4WEpVrq01AtlNU,DdYSNSemsZ94TX8Xnr,To5mrF171qLoGOY5iT,6/9/2022,54,54,54,54,54,54,54,54,54,"","",""
55,55,VVMgOl9JyOgntbYX1x,55,xpiDEwhR5l2kF0kPly,3hLBSzy1viOqDyypgy,6/15/2022,55,8/7/2021,5/31/2022,5/5/2022,6/23/2022,55,55,55,55,55,55,55,55,"",55,tutJ4OadpQtiNvqDwd,55,l78cpnS4zhrkySO49G,55,cYRws94A7Vz33OWxkI,1/9/2022,zrug7DbwpBHmd38qSd,55,4AfpUyaMtUO3QJAqYX,8/1/2021,2YHOJSkPZoKbAgtp9P,55,vPKYICxt3cfSkUwrTw,12/27/2021,M0xgscphKZmpXNzbAN,55,1PhmQukGM610lC5ATO,55,"",55,"","",55,pTlb30rppfKLdV0nTI,ElcJHa2aydGBdBZkOp,vWSSVPBXGUmBBLZmLb,T6lhWjWyfX0yJGatZ4,PrhGjTMtUCDoIZWJm2,10/15/2021,55,55,55,55,55,55,55,55,55,"","",""
56,56,93yt7ASfnKuMm0pjRp,56,MhZHeVzB016Bw21Xbi,A4xIULoq4fhjLC77ZZ,4/21/2022,56,11/9/2021,4/3/2022,4/8/2022,2/9/2022,56,56,56,56,56,56,56,56,"",56,F0fzpTeADTa8lrDslH,56,n5roVheEqG7ZAFsZTA,56,JUVOc4APyXm6dVJRT4,6/23/2022,f48WmnPw07SPQcYtKD,56,DGo3VRFndZCsvyolWV,12/28/2021,3LO2x4L3pCDrpv5p4R,56,qQcL5tmBncSmGQWBx9,1/24/2022,IKv5WvevDvTvUgWkjW,56,Hs4ySERmcNNNNv3dNt,56,"",56,"","",56,8cWvnLsmOXGrQMlzO0,3JgISxOafeeKxPInX0,cdKMDNuadvvaBuY69V,xPgNIqfWUVJbfhuBE5,Lj8gCpOPsckENKhVzC,1/14/2022,56,56,56,56,56,56,56,56,56,"","",""
57,57,Z5YBs35iSVUntOkFBh,57,b6BXAeZVGBtxgJp40Y,WDBH3UKU2zCBeNfkPL,10/3/2021,57,8/6/2021,10/14/2021,11/11/2021,1/13/2022,57,57,57,57,57,57,57,57,"",57,2mJ6czcUaBrv3b2tau,57,khxFe4KuzRScqDwUNw,57,XqmRUNmUEosXcbRhgv,5/5/2022,LMzJZgAB7IPClsBjip,57,knuxzDJD9gVz2O0gYA,7/20/2021,DfRyTTztrVPVP4gWTc,57,0O6cV6srxzXppK4kqm,12/11/2021,jocUqsQcX9NBziJJLT,57,GxISilyCLBpG5hTPll,57,"",57,"","",57,zRl2bQSWiBab2bMALB,nM1WAN2S7QM62ZpD3G,ySx1CE7bFJ1OZ0bBd8,GWzOosSAkTv2kH7Nb6,56uNwk7etsp8Lto2PV,10/8/2021,57,57,57,57,57,57,57,57,57,"","",""
58,58,RO6nIJ95TEguGIdQx1,58,Oi8NMuKzSmktxGFmhE,WqOFiq5CmeYyrdXn49,6/25/2022,58,10/1/2021,8/3/2021,9/11/2021,1/23/2022,58,58,58,58,58,58,58,58,"",58,38yJI5ww3vekYr3vcu,58,bK0xUgzczttq6jPZn5,58,1wxDu3rJYEY6oISsJa,11/5/2021,W5ROiz44dHMXlS3QJG,58,y6AuDW3PZcKUaxXuL0,3/13/2022,kS82B7FY6K5HF4HSJl,58,1Sdle5UyCKET20NwKq,7/8/2022,qUYwIXUU1WJrdxhuYw,58,j5gksrkavCWV4jsWFM,58,"",58,"","",58,mS5hdsaIhIf5LT9L5B,sXKvoXByrZTRWh5X3C,TXsVODy1gvTvCDYTZI,5egqHZyiOjJGZKdJ6f,TV0cmTa6lXyg743ziT,11/22/2021,58,58,58,58,58,58,58,58,58,"","",""
59,59,gO75BPuOIfBBN0I3CP,59,KAVtq7G0XBDhaPK9aD,QgKKVTUG4TiLSo8VfS,5/29/2022,59,5/24/2022,3/23/2022,11/30/2021,12/7/2021,59,59,59,59,59,59,59,59,"",59,ZKQsREAIEbZdS1Y5a7,59,YNnDweRloxtUgveqcI,59,j0vfGpLl5deru1kbK6,4/9/2022,mFIX37PiEhRXZ4Dmbo,59,wiLsUEVdyLxgrgydFX,12/11/2021,laoGiokwqb7I0g1RvD,59,680P8hHty77KPgJpSz,10/31/2021,3nWPyzoH6boxGsqbwu,59,BkKXwAjBsPPvsocH5I,59,"",59,"","",59,gZ13bVxUYQcMof0ZBv,iDmI2Sl2tdtmotaonz,QGda5WV3fqwqfiXUGj,AB28MDkMGTzHtCcqOa,erSSfBDvohJ0X9o8jS,4/9/2022,59,59,59,59,59,59,59,59,59,"","",""
